URL,Final URL,Redirected,Status,Template,Blocks,Integrations,Complexity,Migration Method
http://www.dentsplysirona.com/terms-of-use,https://www.dentsplysirona.com/en-us/legal/terms-of-use.html,yes,200,Explore / Category Landing,"Hero, Embed, List, Search",Adobe DTM / Launch; Adobe Scene7 / Dynamic Media; SAP Hybris Commerce; Commerce GraphQL API; Coveo Search; reCAPTCHA; OneTrust; Google Fonts,High,Manual
https://www.dentsplysirona.com/en,https://www.dentsplysirona.com/en,no,200,Explore / Category Landing,"Hero, Teaser, Carousel, Cards, Embed, List, Search",Adobe DTM / Launch; Adobe Scene7 / Dynamic Media; SAP Hybris Commerce; Commerce GraphQL API; Coveo Search; reCAPTCHA; OneTrust; Google Fonts,High,Manual
https://www.dentsplysirona.com/en/academy.html,https://www.dentsplysirona.com/en/learn,yes,200,Explore / Category Landing,"Hero, Teaser, Carousel, Cards, Embed, List, Search",Adobe DTM / Launch; Adobe Scene7 / Dynamic Media; SAP Hybris Commerce; Commerce GraphQL API; Coveo Search; reCAPTCHA; OneTrust; Google Fonts,High,Manual
https://www.dentsplysirona.com/en/academy/about-academy.html,https://www.dentsplysirona.com/en/academy/about-academy.html,no,200,Academy — Content,"Carousel, List, Search",Adobe DTM / Launch; Adobe Scene7 / Dynamic Media; SAP Hybris Commerce; Commerce GraphQL API; Coveo Search; reCAPTCHA; OneTrust; Google Fonts,Low,Automated
https://www.dentsplysirona.com/en/academy/about-academy/partnerships.html,https://www.dentsplysirona.com/en/academy/about-academy/partnerships.html,no,200,Academy — Content,"List, Search",Adobe DTM / Launch; Adobe Scene7 / Dynamic Media; SAP Hybris Commerce; Commerce GraphQL API; Coveo Search; reCAPTCHA; OneTrust; Google Fonts,Low,Automated
https://www.dentsplysirona.com/en/academy/about-academy/research-grants.html,https://www.dentsplysirona.com/en/academy/about-academy/research-grants.html,no,200,Academy — Content,"List, Search",Adobe DTM / Launch; Adobe Scene7 / Dynamic Media; SAP Hybris Commerce; Commerce GraphQL API; Coveo Search; reCAPTCHA; OneTrust; Google Fonts,Low,Automated
https://www.dentsplysirona.com/en/academy/about-academy/SCADA-Program.html,https://www.dentsplysirona.com/en/academy/about-academy/SCADA-Program.html,no,200,Academy — Content,"List, Search",Adobe DTM / Launch; Adobe Scene7 / Dynamic Media; SAP Hybris Commerce; Commerce GraphQL API; Coveo Search; reCAPTCHA; OneTrust; Google Fonts,Low,Automated
https://www.dentsplysirona.com/en/academy/ce/courses.html,https://www.dentsplysirona.com/en/academy/ce/courses.html,no,200,Discover Hub / Homepage,"List, Search",Adobe DTM / Launch; Adobe Scene7 / Dynamic Media; SAP Hybris Commerce; Commerce GraphQL API; Coveo Search; reCAPTCHA; OneTrust; Google Fonts,Medium,Semi-Automated
https://www.dentsplysirona.com/en/academy/ce/courses/dental-lab.html,https://www.dentsplysirona.com/en/academy/ce/courses/dental-lab.html,no,200,Academy — Course Listing,"List, Search",Adobe DTM / Launch; Adobe Scene7 / Dynamic Media; SAP Hybris Commerce; Commerce GraphQL API; Coveo Search; reCAPTCHA; OneTrust; Google Fonts,High,Manual
https://www.dentsplysirona.com/en/academy/ce/courses/digital-dentistry-cbct.html,https://www.dentsplysirona.com/en/academy/ce/courses/digital-dentistry-cbct.html,no,200,Academy — Course Listing,"List, Search",Adobe DTM / Launch; Adobe Scene7 / Dynamic Media; SAP Hybris Commerce; Commerce GraphQL API; Coveo Search; reCAPTCHA; OneTrust; Google Fonts,High,Manual
https://www.dentsplysirona.com/en/academy/ce/courses/implant-dentistry.html,https://www.dentsplysirona.com/en/academy/ce/courses/implant-dentistry.html,no,200,Academy — Course Listing,"List, Search",Adobe DTM / Launch; Adobe Scene7 / Dynamic Media; SAP Hybris Commerce; Commerce GraphQL API; Coveo Search; reCAPTCHA; OneTrust; Google Fonts,High,Manual
https://www.dentsplysirona.com/en/academy/ce/courses/orthodontics.html,https://www.dentsplysirona.com/en/academy/ce/courses/orthodontics.html,no,200,Academy — Course Listing,"List, Search",Adobe DTM / Launch; Adobe Scene7 / Dynamic Media; SAP Hybris Commerce; Commerce GraphQL API; Coveo Search; reCAPTCHA; OneTrust; Google Fonts,High,Manual
https://www.dentsplysirona.com/en/academy/ce/courses/preventive.html,https://www.dentsplysirona.com/en/academy/ce/courses/preventive.html,no,200,Academy — Course Listing,"List, Search",Adobe DTM / Launch; Adobe Scene7 / Dynamic Media; SAP Hybris Commerce; Commerce GraphQL API; Coveo Search; reCAPTCHA; OneTrust; Google Fonts,High,Manual
https://www.dentsplysirona.com/en/academy/ce/courses/restorative-prosthodontics.html,https://www.dentsplysirona.com/en/academy/ce/courses/restorative-prosthodontics.html,no,200,Academy — Course Listing,"List, Search",Adobe DTM / Launch; Adobe Scene7 / Dynamic Media; SAP Hybris Commerce; Commerce GraphQL API; Coveo Search; reCAPTCHA; OneTrust; Google Fonts,High,Manual
https://www.dentsplysirona.com/en/academy/ce/videos.html,https://www.dentsplysirona.com/en/academy/ce/videos.html,no,200,Discover Hub / Homepage,"List, Search",Adobe DTM / Launch; Adobe Scene7 / Dynamic Media; SAP Hybris Commerce; Commerce GraphQL API; Coveo Search; reCAPTCHA; OneTrust; Google Fonts,Medium,Semi-Automated
https://www.dentsplysirona.com/en/academy/course-series.html,https://www.dentsplysirona.com/en/academy/course-series.html,no,200,Discover Hub / Homepage,"Carousel, List, Search",Adobe DTM / Launch; Adobe Scene7 / Dynamic Media; SAP Hybris Commerce; Commerce GraphQL API; Coveo Search; reCAPTCHA; OneTrust; Google Fonts,Medium,Semi-Automated
https://www.dentsplysirona.com/en/academy/course-series/aligner-course-series.html,https://www.dentsplysirona.com/en/academy/course-series/aligner-course-series.html,no,200,Discover Hub / Homepage,"List, Search",Adobe DTM / Launch; Adobe Scene7 / Dynamic Media; SAP Hybris Commerce; Commerce GraphQL API; Coveo Search; reCAPTCHA; OneTrust; Google Fonts,Medium,Semi-Automated
https://www.dentsplysirona.com/en/academy/course-series/dental-diagnosis-course-series.html,https://www.dentsplysirona.com/en/academy/course-series/dental-diagnosis-course-series.html,no,200,Discover Hub / Homepage,"List, Search",Adobe DTM / Launch; Adobe Scene7 / Dynamic Media; SAP Hybris Commerce; Commerce GraphQL API; Coveo Search; reCAPTCHA; OneTrust; Google Fonts,Medium,Semi-Automated
https://www.dentsplysirona.com/en/academy/course-series/endodontics-course-series.html,https://www.dentsplysirona.com/en/academy/course-series/endodontics-course-series.html,no,200,Discover Hub / Homepage,"List, Search",Adobe DTM / Launch; Adobe Scene7 / Dynamic Media; SAP Hybris Commerce; Commerce GraphQL API; Coveo Search; reCAPTCHA; OneTrust; Google Fonts,Medium,Semi-Automated
https://www.dentsplysirona.com/en/academy/course-series/implant-course-series.html,https://www.dentsplysirona.com/en/academy/course-series/implant-course-series.html,no,200,Discover Hub / Homepage,"List, Search",Adobe DTM / Launch; Adobe Scene7 / Dynamic Media; SAP Hybris Commerce; Commerce GraphQL API; Coveo Search; reCAPTCHA; OneTrust; Google Fonts,Medium,Semi-Automated
https://www.dentsplysirona.com/en/academy/course-series/indirect-restorative-course-series.html,https://www.dentsplysirona.com/en/academy/course-series/indirect-restorative-course-series.html,no,200,Discover Hub / Homepage,"List, Search",Adobe DTM / Launch; Adobe Scene7 / Dynamic Media; SAP Hybris Commerce; Commerce GraphQL API; Coveo Search; reCAPTCHA; OneTrust; Google Fonts,Medium,Semi-Automated
https://www.dentsplysirona.com/en/academy/course-series/sustainability-course-series.html,https://www.dentsplysirona.com/en/academy/course-series/sustainability-course-series.html,no,200,Discover Hub / Homepage,"List, Search",Adobe DTM / Launch; Adobe Scene7 / Dynamic Media; SAP Hybris Commerce; Commerce GraphQL API; Coveo Search; reCAPTCHA; OneTrust; Google Fonts,Medium,Semi-Automated
https://www.dentsplysirona.com/en/academy/courses.html,https://www.dentsplysirona.com/en/academy/courses.html,no,200,Academy — Content,"List, Search",Adobe DTM / Launch; Adobe Scene7 / Dynamic Media; SAP Hybris Commerce; Commerce GraphQL API; Coveo Search; reCAPTCHA; OneTrust; Google Fonts,Low,Automated
https://www.dentsplysirona.com/en/academy/courses/endodontics.html,https://www.dentsplysirona.com/en/academy/courses/endodontics.html,no,200,Academy — Course Listing,"List, Search",Adobe DTM / Launch; Adobe Scene7 / Dynamic Media; SAP Hybris Commerce; Commerce GraphQL API; Coveo Search; reCAPTCHA; OneTrust; Google Fonts,High,Manual
https://www.dentsplysirona.com/en/academy/education-centers.html,https://www.dentsplysirona.com/en/academy/education-centers.html,no,200,Academy — Content,"List, Search",Adobe DTM / Launch; Adobe Scene7 / Dynamic Media; SAP Hybris Commerce; Commerce GraphQL API; Coveo Search; reCAPTCHA; OneTrust; Google Fonts,Low,Automated
https://www.dentsplysirona.com/en/academy/practice-management-marketing/blog-posts.html,https://www.dentsplysirona.com/en/academy/practice-management-marketing/blog-posts.html,no,200,Discover Hub / Homepage,"List, Search",Adobe DTM / Launch; Adobe Scene7 / Dynamic Media; SAP Hybris Commerce; Commerce GraphQL API; Coveo Search; reCAPTCHA; OneTrust; Google Fonts,Medium,Semi-Automated
https://www.dentsplysirona.com/en/academy/practice-management-marketing/courses.html,https://www.dentsplysirona.com/en/academy/practice-management-marketing/courses.html,no,200,Discover Hub / Homepage,"List, Search",Adobe DTM / Launch; Adobe Scene7 / Dynamic Media; SAP Hybris Commerce; Commerce GraphQL API; Coveo Search; reCAPTCHA; OneTrust; Google Fonts,Medium,Semi-Automated
https://www.dentsplysirona.com/en/academy/practice-management-marketing/courses.html?coursefilter=Practice-Management%3Dacademy%253Alearning-area%252Fpractice-management%252Finfection-prevention%26sort%3Ddesc,https://www.dentsplysirona.com/en/academy/practice-management-marketing/courses.html?coursefilter=Practice-Management%3Dacademy%253Alearning-area%252Fpractice-management%252Finfection-prevention%26sort%3Ddesc,no,200,Discover Hub / Homepage,"List, Search",Adobe DTM / Launch; Adobe Scene7 / Dynamic Media; SAP Hybris Commerce; Commerce GraphQL API; Coveo Search; reCAPTCHA; OneTrust; Google Fonts,Medium,Semi-Automated
https://www.dentsplysirona.com/en/academy/practice-management-marketing/courses.html?coursefilter=Practice-Management%3Dacademy%253Alearning-area%252Fpractice-management%252Fmanagement-productivity%26sort%3Ddesc,https://www.dentsplysirona.com/en/academy/practice-management-marketing/courses.html?coursefilter=Practice-Management%3Dacademy%253Alearning-area%252Fpractice-management%252Fmanagement-productivity%26sort%3Ddesc,no,200,Discover Hub / Homepage,"List, Search",Adobe DTM / Launch; Adobe Scene7 / Dynamic Media; SAP Hybris Commerce; Commerce GraphQL API; Coveo Search; reCAPTCHA; OneTrust; Google Fonts,Medium,Semi-Automated
https://www.dentsplysirona.com/en/academy/practice-management-marketing/courses.html?coursefilter=Practice-Management%3Dacademy%253Alearning-area%252Fpractice-management%252Fmarketing-strategies%26sort%3Ddesc,https://www.dentsplysirona.com/en/academy/practice-management-marketing/courses.html?coursefilter=Practice-Management%3Dacademy%253Alearning-area%252Fpractice-management%252Fmarketing-strategies%26sort%3Ddesc,no,200,Discover Hub / Homepage,"List, Search",Adobe DTM / Launch; Adobe Scene7 / Dynamic Media; SAP Hybris Commerce; Commerce GraphQL API; Coveo Search; reCAPTCHA; OneTrust; Google Fonts,Medium,Semi-Automated
https://www.dentsplysirona.com/en/academy/practice-management-marketing/courses.html?coursefilter=Practice-Management%3Dacademy%253Alearning-area%252Fpractice-management%252Fpatient-experience%26sort%3Ddesc,https://www.dentsplysirona.com/en/academy/practice-management-marketing/courses.html?coursefilter=Practice-Management%3Dacademy%253Alearning-area%252Fpractice-management%252Fpatient-experience%26sort%3Ddesc,no,200,Discover Hub / Homepage,"List, Search",Adobe DTM / Launch; Adobe Scene7 / Dynamic Media; SAP Hybris Commerce; Commerce GraphQL API; Coveo Search; reCAPTCHA; OneTrust; Google Fonts,Medium,Semi-Automated
https://www.dentsplysirona.com/en/academy/practice-management-marketing/courses.html?coursefilter=Practice-Management%3Dacademy%253Alearning-area%252Fpractice-management%252Fsustainable-dentistry%26sort%3Ddesc,https://www.dentsplysirona.com/en/academy/practice-management-marketing/courses.html?coursefilter=Practice-Management%3Dacademy%253Alearning-area%252Fpractice-management%252Fsustainable-dentistry%26sort%3Ddesc,no,200,Discover Hub / Homepage,"List, Search",Adobe DTM / Launch; Adobe Scene7 / Dynamic Media; SAP Hybris Commerce; Commerce GraphQL API; Coveo Search; reCAPTCHA; OneTrust; Google Fonts,Medium,Semi-Automated
